state_abbr,state_fips,geo_fips,geo_level,geo_name,metric_name,group_name,num,denom,est,lci,uci,data_period,period_type,source_name,census_parent_shape_year,data_indicator,county_indicator,map_indicator,agg_indicator,version,suggested_citation,NCHS_disclaimer
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,26.5,-999.0,-999.0,December 2024,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,"Department of Population Health, NYU Langone Health. City Health Dashboard. https://www.cityhealthdashboard.com/. Accessed 2025-09-22","The downloadable data tables shared on the City Health Dashboard website were not released as a micro-level downloadable datasets from NCHS/RDC, rather .csv aggregated data tables whose analyses were conducted per NCHS disclosure requirements in a secure environment and released as approved output. The findings and conclusions on this website are those of the author(s) and do not represent the views of the Research Data Center, the National Center for Health Statistics, or the Centers for Disease Control and Prevention. NCHS does not recommend further analysis of these tables because linking them to individually identifiable data from other NCHS or non-NCHS datasets could potentially cause disclosure. If you believe a disclosure has occurred please contact info@cityhealthdashboard.com and RDCA@cdc.gov."
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,32.6,-999.0,-999.0,November 2024,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,40.3,-999.0,-999.0,October 2024,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,41.2,-999.0,-999.0,September 2024,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,47.2,-999.0,-999.0,August 2024,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,53.7,-999.0,-999.0,July 2024,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,52.4,-999.0,-999.0,June 2024,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,43.1,-999.0,-999.0,May 2024,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,45.1,-999.0,-999.0,April 2024,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,39.1,-999.0,-999.0,March 2024,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,30.8,-999.0,-999.0,February 2024,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,25.5,-999.0,-999.0,January 2024,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,22.8,-999.0,-999.0,December 2023,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,30.4,-999.0,-999.0,November 2023,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,32.4,-999.0,-999.0,October 2023,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,40.5,-999.0,-999.0,September 2023,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,47.4,-999.0,-999.0,August 2023,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,55.0,-999.0,-999.0,July 2023,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,50.2,-999.0,-999.0,June 2023,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,47.0,-999.0,-999.0,May 2023,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,49.3,-999.0,-999.0,April 2023,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,41.3,-999.0,-999.0,March 2023,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,32.4,-999.0,-999.0,February 2023,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,24.3,-999.0,-999.0,January 2023,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,22.9,-999.0,-999.0,December 2022,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,28.6,-999.0,-999.0,November 2022,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,31.0,-999.0,-999.0,October 2022,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,39.6,-999.0,-999.0,September 2022,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,49.2,-999.0,-999.0,August 2022,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,51.8,-999.0,-999.0,July 2022,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,51.8,-999.0,-999.0,June 2022,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,44.3,-999.0,-999.0,May 2022,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,44.9,-999.0,-999.0,April 2022,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,40.7,-999.0,-999.0,March 2022,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,33.1,-999.0,-999.0,February 2022,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,29.4,-999.0,-999.0,January 2022,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,22.9,-999.0,-999.0,December 2021,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,30.2,-999.0,-999.0,November 2021,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,34.1,-999.0,-999.0,October 2021,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,40.5,-999.0,-999.0,September 2021,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,50.3,-999.0,-999.0,August 2021,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,52.1,-999.0,-999.0,July 2021,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,47.4,-999.0,-999.0,June 2021,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,48.3,-999.0,-999.0,May 2021,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,45.4,-999.0,-999.0,April 2021,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,41.1,-999.0,-999.0,March 2021,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,32.0,-999.0,-999.0,February 2021,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,26.2,-999.0,-999.0,January 2021,1 month average estimate,George Mason University,2020,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,25.3,-999.0,-999.0,December 2020,1 month average estimate,George Mason University,2010,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,29.8,-999.0,-999.0,November 2020,1 month average estimate,George Mason University,2010,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,29.9,-999.0,-999.0,October 2020,1 month average estimate,George Mason University,2010,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,36.9,-999.0,-999.0,September 2020,1 month average estimate,George Mason University,2010,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,47.8,-999.0,-999.0,August 2020,1 month average estimate,George Mason University,2010,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,52.8,-999.0,-999.0,July 2020,1 month average estimate,George Mason University,2010,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,48.6,-999.0,-999.0,June 2020,1 month average estimate,George Mason University,2010,,,,aggregation_1,06-25-2025,,
MD,24,2404000,city,Baltimore,Air Pollution - Ozone,Total,-999.0,-999.0,42.6,-999.0,-999.0,May 2020,1 month average estimate,George Mason University,2010,,,,aggregation_1,06-25-2025,,
